Title,Link,Type,Keywords
2025 PCI SSC North America Community Meeting,https://events.pcisecuritystandards.org/#,CyberSecurity,"pci ssc, payment security, security standards, community meetings, north america, europe, call for speakers, global community"
2025 PCI SSC Europe Community Meeting,https://events.pcisecuritystandards.org/#,CyberSecurity,"pci security standards council, payment security, data security standards, payments industry, community meetings, global forum, payment data protection, call for speakers"
2025 PCI SSC Asia-Pacific Community Meeting,https://events.pcisecuritystandards.org/#,CyberSecurity,"pci security standards council, payment data, payment security, data security standards, payments industry, global standards adoption, pci ssc community meetings, stakeholder collaboration, protect payment data, safe payments"
RSA Conference 2025,https://www.rsaconference.com/usa,CyberSecurity,"rsac conference, cybersecurity, conference agenda, information security, 2025 usa"
Innovate Cybersecurity Summit,https://innovatecybersecuritysummit.com/,CyberSecurity,"cybersecurity, cybersecurity events, summits, conferences, cybersecurity education, risk management, cybersecurity topics, us events, cybersecurity innovation"
SAINTCON,https://saintcon.org/,CyberSecurity,"saintcon, generative ai, cyber threat intelligence, cybersecurity, generative ai dangers, adversarial attacks, data privacy, security conferences"
Cloud & Cyber Security Expo,https://www.cloudsecurityexpo.com/,CyberSecurity,"cyber security, cloud transformation, ai, generative ai, threat detection, iot, digital transformation, edge computing, intelligent automation, zero-day vigilance"
HIMSS,https://www.himss.org/global-conference?gclid=CjwKCAjwvrOpBhBdEiwAR58-3D9Muip01_4OdnwXxAGnNwfMFodzcvPnN5bjArshHgSwfPpr9RkBthoCy9YQAvD_BwE,CyberSecurity,"himss, healthcare information and management systems, health it, digital health, global health conference & exhibition, healthcare, health it innovation, networking, market insights, healthcare professionals"
HIMSS Europe,https://www.himss.org/events-overview/european-health-conference-and-exhibition/?_gl=1*sm49gs*_ga*OTE1Nzg2MTIwLjE3NDI5NDA3MDU.*_ga_QZX0W5RKQW*MTc0Mjk0MDcwNS4xLjEuMTc0Mjk0MTAyOC4wLjAuMA..*_gcl_au*NTQwMzcwMzQ5LjE3NDI5NDA3MDU.,CyberSecurity,"digital health, european health, cybersecurity, healthcare information and management systems, himss25, health conference, exhibition, market insights, networking"
WiCyS,https://www.wicys.org/events/wicys-2024/,CyberSecurity,"cybersecurity, women in cybersecurity, conference, autonomous decisions, security risks, privilege escalation, accountability, manipulation"
Gartner Security & Risk Management Summit,https://www.gartner.com/en/conferences/na/security-risk-management-us,CyberSecurity,"cybersecurity, risk management, cisos, threat landscape, organizational protection, privacy, security conferences, gartner"
ISACA North America Conference,https://www.isaca.org/training-and-events/conferences/isaca-north-america-conference,CyberSecurity,"isaca conferences, is/it, artificial intelligence, cybersecurity, it audit, grc, thought leadership, professional development"
GRC Conference 2025,https://www.isaca.org/training-and-events/conferences/grc-conference,CyberSecurity,"gordon research conferences (grc), conference search, scientific research, gordon research seminars (grs), conference programs, workshops, scientific conferences, research community"
ISACA Europe Conference,https://www.isaca.org/training-and-events/conferences/isaca-north-america-conference,CyberSecurity,"isaca, conferences, cybersecurity, it audit, artificial intelligence, grc, is/it, professional networking"
The Diana Initiative,https://www.dianainitiative.org/,CyberSecurity,"the diana initiative, nato diana, professional development, mentorship, new technology, transatlantic security, conferences, private sector & academia collaboration, call-for-papers"
Apres-Cyber Slopes Summit,https://www.aprescyber.com/,CyberSecurity,"cybersecurity conferences, cyber threats, data, threat intelligence, cisos, professional development, sans, apres-cyber slopes summit"
DEF CON,https://defcon.org/,CyberSecurity,"def con, hacking conference, cybersecurity, black hat, capture the flag (ctf), exploits, security tools, crowdstrike outage, presentations, workshops"
Association of Payment Professionals,https://www.paymentpros.org/level-up-24,CyberSecurity,"payments, treasury, banking, fraud, electronic transactions, payments professionals, accreditation, enterprise payments"
Black Hat,https://www.blackhat.com/upcoming.html#usa,CyberSecurity,"black hat, infosec, ai, ml, & data science, application security, cloud security, cryptography, ethical hacking, cyber insurance"
Zero Trust World (ThreatLocker),https://zerotrustworld.threatlocker.com/,CyberSecurity,"zero trust, cybersecurity, incident response, zero-day exploits, supply chain risks, threatlocker, cybersecurity certification, defense strategies"
ICCWS,https://www.academic-conferences.org/conferences/iccws/,CyberSecurity,"cyber warfare, cyber security, iccws, academic research, international conference, conference proceedings, research dissemination"
HACKMIAMI,https://hackmiami.com/index.html,CyberSecurity,"hackmiami, cybersecurity, information security, hacker conference, ethical social engineering, privacy, internet freedom, hands-on training"
Techno Security & Digital Forensics Conference,https://www.technosecurity.us/,CyberSecurity,"techno security, digital forensics, cybersecurity, ediscovery, conference, cpe credits"
BSides,https://bsideslv.org/,CyberSecurity,"bsides, information security, cybersecurity, security conferences, community-driven, offensive security, knowledge sharing, grassroots, technology"
Aspen Cyber Summit,https://www.aspencybersummit.org/,CyberSecurity,"aspen cyber summit, cybersecurity, technology policy, cybersecurity policy, us government officials, national awareness campaign, cybersecurity challenges, technology, 2024, policy gathering"
AISTATS 2025,https://aistats.org/aistats2025/index.html,AI-ML,"artificial intelligence, machine learning, statistics, neural information processing systems, aistats, neurips, research conferences, call for papers, computer science"
CVPR 2025,https://cvpr.thecvf.com/Conferences/2025,AI-ML,"computer vision, cvpr 2025, iccv 2025, pattern recognition, conferences, call for papers, original research, technical program"
NAACL 2025,https://2025.naacl.org,AI-ML,"naacl 2025, acl, computational linguistics, natural language processing (nlp), call for papers, technical program, submission topics, computational social science, tacl, cl journals"
ICLR 2025,https://iclr.cc/Conferences/2025/CallForPapers,AI-ML,"learning representations, iclr 2025, machine learning, academic conference, research, call for papers, mentoring, networking"
LoG 2024,https://logconference.org,AI-ML,"alzheimer's disease, dementia research, anesthesiology, medical conferences, scientific forum, research community, virtual conferences, mda conference"
ECIR 2025,https://ecir2025.eu/,AI-ML,"information retrieval, ecir 2025, query performance prediction, large language models, tutorials, ir applications"
WACV 2025,https://wacv2025.thecvf.com/,AI-ML,"computer vision, wacv 2025, governance, privacy, workshops, tutorials, applications of computer vision"
AAMAS 2025,https://aamas2025.org/,AI-ML,"autonomous agents, multiagent systems, aamas 2025, international conference, call for papers, tutorial program, ifaamas"
CHI 2025,https://chi2025.acm.org/,AI-ML,"human factors, acm chi 2025, conference submissions, precision conference, community health, nachc chi conference, technical program, academic conferences, computing machinery, conference code of conduct"
COLING 2025,https://coling2025.org/,AI-ML,"coling 2025, computational linguistics, comparable corpora, bucc workshop, call for papers, supplementary materials, program code, datasets"
WSDM 2025,https://www.wsdm-conference.org/2025/,AI-ML,"wsdm, acm, research areas, tutorials, emerging topics, trends, robust information, google, information dissemination, surveys"
Iberamia 2024,https://www.iberamia.org/iberamia/iberamia2024/,AI-ML,"iberamia'2024, artificial intelligence, ibero-american conference, workshops, call for workshops, montevideo"
NeurIPS [Dataset and Benchmarks Track] 2024,https://nips.cc/Conferences/2024/CallForDatasetsBenchmarks,AI-ML,"neurips, datasets, benchmarks, neural information processing systems, call for datasets & benchmarks, dataset submissions, data quality, openreview, conference track"
ICRA 2025,https://2025.ieee-icra.org,AI-ML,"icra 2025, robotics, automation, ieee, technical program, research, paper presentations, academic exchange, industry professionals, paperplaza"
WACV 2025,https://wacv2025.thecvf.com/,AI-ML,"computer vision, wacv 2025, governance, privacy, workshops, tutorials, ieee, cvf, world privacy forum, call for workshops"
AAAI 2025,https://aaai.org/conference/aaai/aaai-25/,AI-ML,"artificial intelligence, aaai conference, machine learning, natural language processing, computer vision, data mining, multiagent systems, knowledge representation"
BMVC 2024,https://bmvc2024.org/,AI-ML,"machine vision, bmvc (british machine vision conference), computer vision, academic conferences, call for papers, author guidelines, keynotes, conference organization"
ICASSP 2025,https://2025.ieeeicassp.org/,AI-ML,"icassp 2025, acoustics, speech processing, signal processing, ieee, call for tutorials, satellite event, hyderabad, suzhou, tutorial program"
KIL 2024,https://kil-workshop.github.io/,AI-ML,"neurosymbolic solutions, large language models (llms), context-aware explanations, ai reasoning, acm kdd 2024, global security, local government planning, workshops & summits, meeting agendas & schedules, mitigating llm issues"
ISMIR 2024,https://ismir2024.ismir.net/,AI-ML,"music information retrieval (mir), ismir conference, academic research, mentoring program, call for papers, research forum"
SPAICE 2024,https://spaice.esa.int/,AI-ML,"new space economy, commercial space, earth and space science, space policy, aerospace industry, space conferences, space business, space innovation"
EMNLP 2024,https://2024.emnlp.org/,AI-ML,"emnlp, natural language processing (nlp), empirical methods, machine translation, wmt, academic conferences, technical program, ai"
CIKM 2024,https://cikm2024.org/,AI-ML,"cikm 2024, information management, knowledge management, workshops program, research challenges, research initiatives, research papers, call for papers, international conference, topics of interest"
SIGGRAPH Asia 2024,https://asia.siggraph.org/2024/,AI-ML,"siggraph asia 2024, computer graphics, technical papers, courses, acm transactions on graphics, student volunteer programs, intern programs, early career development, journal paper track, conference paper track"
NeurIPS 2024,https://nips.cc/Conferences/2024,AI-ML,"neurips, neural information processing systems, artificial intelligence, industrial artificial intelligence, machine learning, ai conference, expo"
